 40.427971 -105.799627 2002-08-10 21:47:27 start
 40.425353 -105.804820 2002-08-10 21:48:09 start
 40.423486 -105.809240 2002-08-10 21:50:02 start
 40.418379 -105.814648 2002-08-10 22:08:37 start
 40.413723 -105.817866 2002-08-10 22:09:36 start
 40.411234 -105.819690 2002-08-10 22:10:10 start
 40.406363 -105.821707 2002-08-10 22:10:56 start
 40.399346 -105.830569 2002-08-10 22:12:13 start
 40.400913 -105.834775 2002-08-10 22:12:58 start
 40.405397 -105.835290 2002-08-10 22:13:44 start
 40.410419 -105.838122 2002-08-10 22:14:35 start
 40.407500 -105.838037 2002-08-10 22:15:21 start
 40.406384 -105.838981 2002-08-10 22:15:51 start
 40.409560 -105.842392 2002-08-10 22:16:34 start
 40.408916 -105.842779 2002-08-10 22:17:17 start
 40.412886 -105.844839 2002-08-10 22:18:03 start
 40.416298 -105.846984 2002-08-10 22:18:36 start
 40.413637 -105.846705 2002-08-10 22:19:18 start
 40.408230 -105.847306 2002-08-10 22:20:07 start
 40.402844 -105.847864 2002-08-10 22:20:48 start
 40.389347 -105.847499 2002-08-10 22:22:10 start
 40.376623 -105.852349 2002-08-10 22:23:26 start
 40.366130 -105.854344 2002-08-10 22:24:25 start
 40.347741 -105.857499 2002-08-10 22:25:59 start
 40.339029 -105.857606 2002-08-10 22:26:46 start
 40.326777 -105.853851 2002-08-10 22:27:47 start
 40.317142 -105.844688 2002-08-10 22:28:55 start
 40.304031 -105.842607 2002-08-10 22:30:07 start
 40.288088 -105.842671 2002-08-10 22:31:22 start
 40.274184 -105.835590 2002-08-10 22:32:35 start
 40.262554 -105.831406 2002-08-10 22:34:03 start
 40.257769 -105.838122 2002-08-10 22:35:01 start
 40.251460 -105.835075 2002-08-10 22:35:51 start
 40.252662 -105.825119 2002-08-10 22:37:20 start
 40.251460 -105.818553 2002-08-10 22:39:19 start
 40.250559 -105.816579 2002-08-10 22:40:32 start
 40.251503 -105.819712 2002-08-10 22:42:15 start
 40.251868 -105.820484 2002-08-10 23:15:39 start
 40.253177 -105.828209 2002-08-10 23:17:28 start
 40.251267 -105.835097 2002-08-10 23:18:47 start
